_private_splunk_getCloudIndexesInfo,Get indexes information from all available indexers.,always,24h,"| rest [rest splunk_server=local /services/server/info 

                 | eval splunk_server = if(server_roles == ""cluster_search_head"" AND instance_type 
== ""cloud"", ""idx*"", ""local"") 

                 | return splunk_server] 

           /services/data/indexes datatype=all 

| stats sum(currentDBSizeMB) as value_currentDBSizeMB 

        max(maxTime) as value_maxTime 

        min(minTime) as value_minTime 

        first(*) as * 

        by title 

| rename value_currentDBSizeMB AS currentDBSizeMB 

         value_maxTime AS maxTime 

         value_minTime AS minTime  

| join type=outer title [eventcount [rest splunk_server=local /services/server/info 

                                     | eval splunk_server = if(server_roles == ""cluster_search_head"" 
AND instance_type == ""cloud"", ""idx*"", ""local"") 

                                     | return splunk_server] 

                         summarize=f index=* | 

                         stats sum(count) AS totalEventCount by index | 

                         rename index AS title] 

| eval totalEventCount = if(isnotnull(totalEventCount), totalEventCount, 0)"
AWS Dashboard Report Acceleration,,always,24h,"index=* sourcetype=""aws:cloudwatchlogs"" OR sourcetype=""aws:cloudtrail"" OR sourcetype=""aws:metadata"" 
OR sourcetype=""aws:cloudwatch:guardduty""

OR sourcetype=""aws:securityhub:finding"" OR sourcetype=""aws:iam:credentialreport"" OR 
sourcetype=""aws:accessanalyzer:finding""

| rex field=source 
""(?<source_dm_id>[0-9a-f]{8}\b-[0-9a-f]{4}-[0-9a-f]{4}-[0-9a-f]{4}-\b[0-9a-f]{12})""

| eval id = if(isnotnull(data_manager_input_id), data_manager_input_id, source_dm_id)

| rex field=source ""^[^:]+:(\/)?(?<cwl_type>[^\/]+)(\/)(?<cwl_service>[^\/]+).+$""

| rex field=source ""^[^:]+:(?<md_category>(iam_|ec2_)\w+)$""

| eval cwl_ds = sourcetype + "":"" + if(cwl_type==""aws"", cwl_service, ""api-gateway"")

| eval metadata_ds = sourcetype + "":"" + md_category

| eval datasource = case(sourcetype == ""aws:cloudwatchlogs"", cwl_ds, sourcetype == ""aws:metadata"", 
metadata_ds, true(), sourcetype)

| eval account_id = coalesce(recipientAccountId, AccountId, AwsAccountId, accountId, account)

| eval region = if(datasource == ""aws:iam:credentialreport"" OR datasource == 
""aws:metadata:iam_users"", ""us-east-1"", coalesce(awsRegion, Region, region))

| stats latest(_time) as last_seen_event, count as num_events_7d, sparkline(count) as 
last_7d_sparkline by id, datasource, region, account_id"
Bucket Merge Retrieve Conf Settings,,always,24h,"| rest services/data/indexes datatype=all 

| search disabled!=1 AND bucketMerging=1 

| dedup title 

| fields title bucketMerging bucketMerge.minMergeSizeMB bucketMerge.maxMergeSizeMB 
bucketMerge.maxMergeTimeSpanSecs bucketMerge.minMergeCount bucketMerge.maxMergeCount"
Cluster CPU Usage,,always,24h,"| mstats avg(_value) prestats=true WHERE `k8s-metrics-index` AND 
metric_name=""kube.cluster.cpu.usage_rate"" span=5m | timechart avg(_value) as ""Avg"" span=5m | eval  
""CPU (Cores)"" = Avg/1000 | fields - Avg"
Cluster Memory Usage,,always,24h,"| mstats avg(_value) prestats=true WHERE `k8s-metrics-index` AND 
metric_name=""kube.cluster.memory.usage"" span=5m | timechart avg(_value) as ""Avg"" span=5m | eval  
""Memory (GB)"" = Avg/1000000000 | fields - Avg"
Disk I/O READ,,always,24h,"| mstats avg(_value) prestats=true WHERE `k8s-metrics-index` AND 
metric_name=""kube.node.disk.io_read_bytes_rate"" span=10s BY ""node"" | timechart avg(_value) as ""Avg"" 
span=10s BY ""node"""
Disk I/O Write,,always,24h,"| mstats avg(_value) prestats=true WHERE `k8s-metrics-index` AND 
metric_name=""kube.node.disk.io_write_bytes_rate"" span=10s BY ""node"" | timechart avg(_value) as ""Avg"" 
span=10s BY ""node"""
Errors in the last 24 hours,,always,24h,error OR failed OR severe OR ( sourcetype=access_* ( 404 OR 500 OR 503 ) )
Errors in the last hour,,always,24h,error OR failed OR severe OR ( sourcetype=access_* ( 404 OR 500 OR 503 ) )
Generate Data Availability ML Model for Latency,,always,24h,"| tstats count values(source) as source avg(_indextime) as indextime where 

    [| inputlookup data_inventory_products_lookup 

    | eval category=case(isnotnull(daily_event_volume) AND daily_event_volume > 50000, 
""highvolumelowlatency"", stage!=""step-sourcetype"", ""normal"", 1=1,""unused"") 

    | lookup SSE-data-availability-products-categorization productId OUTPUT category as 
category_override 

    | eval category=coalesce(category_override, category) 

    | search category=""highvolumelowlatency"" OR category=""normal"" 

    | eval termsearch = if(len(termsearch)>0,""("" . termsearch . "")"",null()) 

    | stats values(termsearch) as search 

    | eval search=""("" . mvjoin(search, "" OR "") . "")"" ] earliest=-30d by index sourcetype _time 
span=5m 

| eval reduce_factor_to_limit_memory_explosion = 10

| where random()%reduce_factor_to_limit_memory_explosion = 1 

| eval lag = indextime - _time - 180 

| stats values(lag) as lag values(source) as source by index sourcetype _time 

| where lag > 0 

| eval productId=null, 

    [| inputlookup data_inventory_products_lookup 

    | eval category=case(isnotnull(daily_event_volume) AND daily_event_volume > 50000, 
""highvolumelowlatency"", stage!=""step-sourcetype"", ""normal"", 1=1,""unused"") 

    | lookup SSE-data-availability-products-categorization productId OUTPUT category as 
category_override 

    | eval category=coalesce(category_override, category) 

    | search category=""highvolumelowlatency"" OR category=""normal"" 

    | eval termsearch = if(len(termsearch)>0,""("" . termsearch . "")"",null()) 

    | rex field=termsearch mode=sed ""s/\""/\\\""/g"" 

    | eval search = ""productId=if(searchmatch(\"""" . termsearch . ""\""), mvappend(productId, \"""" . 
productId . ""\""), productId)"" 

    | stats values(search) as search 

    | eval search=mvjoin(search, "", "")]

| mvexpand productId

| fit DensityFunction lag  by productId upper_threshold=0.01 dist=norm into app:sse_event_lag_model

| stats count as baseline_num_data_samples avg(lag) as baseline_avg_lag min(_time) as 
baseline_earliest max(_time) as baseline_latest by productId | eval baseline_update_last_run = 
now(), baseline_lag_at_last_update = now() - baseline_latest  | outputlookup 
SSE-data_availability_latency_status.csv"
