Title,Description,Alert Type,Alert Expires,Search 
 Finding Malicious Tools (90d),"The Splunk search query you provided looks for events in Splunk's indexed data that match the following criteria:

The event's EventCode field has a value of 4663
The event's ObjectName field contains a path that matches any of the following patterns:
C\ProgramData*.rar
C\ProgramData*.zip
C\ProgramData*.7z
In other words, the search is looking for instances where a file with a .rar, .zip, or .7z extension is accessed in the C:\ProgramData directory. The 4663 EventCode is related to Windows security audit events and is triggered when a user or process attempts to access an object (e.g., file, folder) and the object's access control list (ACL) indicates that the requested access is not allowed.

Overall, this search query may be useful for detecting unauthorized attempts to access compressed file archives stored in a specific directory on Windows systems.",Always,24h,"EventCode=4663 (ObjectName=""C\\ProgramData\\*.rar"" OR ObjectName=""C\\ProgramData\\*.zip"" OR ObjectName=""C\\ProgramData\\*.7z"")"
 Search for connections to associated URLs with the campaign,"This Splunk search query is used to gather information from web access logs that match the specified criteria. Specifically, it retrieves the minimum time of the event, the user, the destination URL, the HTTP method used, the accessed URL, the HTTP referrer, the user agent, the category, and the action taken on the accessed URL, from the datamodel named ""Web"".

The search is filtered to only include logs where the destination URL matches one of the specified patterns and the HTTP referrer is not empty. The results are then grouped by the accessed URL, and only the fields Time, user, dest, url, method, referrer, userAgent, category, action are displayed.

Finally, the minimum time is converted to human-readable format (using convert ctime function) and the output is displayed. The purpose of this search query could be to identify potential security threats, monitor website traffic, or perform analysis on web usage patterns.",Always,24h,"| tstats min(_time) AS Time 
  values(Web.user) AS user 
  values(Web.dest) AS dest 
  values(Web.http_method) AS method 
  values(Web.url) AS url 
  values(Web.http_referrer) AS referrer 
  values(Web.http_user_agent) AS userAgent 
  values(Web.category) AS category 
  values(Web.action) AS action 
  FROM datamodel=Web 
  WHERE Web.dest IN (
    ""*mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com*"",
    ""*gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com*"",
    ""*7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com*"",
    ""*6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*appsync-api.us-west-2.avsvmcloud.com*"",
    ""*appsync-api.us-east-2.avsvmcloud.com*"",
    ""*appsync-api.us-east-1.avsvmcloud.com*"",
    ""*appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*5qbtj04rcbp3tiq8bo6t.appsync-api.us-east-1.avsvmcloud.com*"",
    ""*6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com*"",
    ""*gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com*"",
    ""*ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com*"",
    ""*k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com*"",
    ""*deftsecurity.com*"",
    ""*freescanonline.com*"",
    ""*thedoccloud.com*"",
    ""*websitetheme.com*"",
    ""*highdatabase.com*"",
    ""*incomeupdate.com*"",
    ""*databasegalore.com*"",
    ""*panhardware.com*"",
    ""*zupertech.com*"",
    ""*digitalcollege.org*"",
    ""*avsvmcloud.com*"",
    ""*owa.organization.here*"",
    ""*webcodez.com*"",
    ""*virtualwebdata.com*"",
    ""*solartrackingsystem.net*"",
    ""*seobundlekit.com*"",
    ""*lcomputers.com*"",
    ""*kubecloud.com*"",
    ""*globalnetworkissues.com*"",
    ""*virtualdataserver.com*"",
    ""*infinitysoftwares.com*"",
    ""*ervsystem.com*""
  ) 
  AND Web.http_referrer IN (*) 
  BY Web.url 
| fields Time, user, dest, url, method, referrer, userAgent, category, action 
| convert ctime(Time)"
 Search for files,"This is a Splunk search query that searches through all the indexes (*) for events that contain any of the file paths or file names specified in the query.

Specifically, it is looking for events that contain any of the following:

""C\Users<user>\AppData\Roaming\pid.txt""
""C\Users<user>\AppData\Roaming\pidloc.txt""
""C\Users<user>\AppData\Local\Temp\holdermail.txt""
""C\Users<user>\AppData\Local\Temp\holderwb.txt""
""\Sys.exe""
""\autorun.inf""
""E\autorun.inf""
""C\Users<user>\AppData\Local\Temp\SysInfo.txt""
""C\Users<user>\AppData\Roaming\Windows Update.exe""
""E\Sys.exe""
""C\Users<user>\AppData\Local\Temp\subfolder""
""C\Users<user>\AppData\Local\Temp\subfolder\filename.exe""
""C\Users<user>\AppData\Local\Temp\subfolder\filename.vbs""
""C\Users<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.tmp""
""C\Users<user>\AppData\Roaming\WindowsUpdate.exe""
The search will return all events that contain any of these file paths or file names, regardless of the source or format of the event. The purpose of this search may be to identify potential security threats or suspicious activity on a system.",Always,24h,"index=* (""C\Users\<user>\AppData\Roaming\pid.txt"" OR ""C\Users\<user>\AppData\Roaming\pidloc.txt"" OR 
""C\Users\<user>\AppData\Local\Temp\holdermail.txt"" OR ""C\Users\<user>\AppData\Local\Temp\holderwb.txt"" OR 
""\Sys.exe"" OR ""\autorun.inf"" OR ""E\autorun.inf"" OR ""C\Users\<user>\AppData\Local\Temp\SysInfo.txt"" OR 
""C\Users\<user>\AppData\Roaming\Windows Update.exe"" OR ""E\Sys.exe"" OR 
""C\Users\<user>\AppData\Local\Temp\subfolder"" OR 
""C\Users\<user>\AppData\Local\Temp\subfolder\filename.exe"" OR 
""C\Users\<user>\AppData\Local\Temp\subfolder\filename.vbs"" OR 
""C\Users\<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.tmp"" OR 
""C\Users\<user>\AppData\Roaming\WindowsUpdate.exe"")"
 Search for hashes,"This Splunk search query searches for events in any index that contain any of the listed values in the parentheses. The values in the parentheses are 10 different hash values that may represent file or system artifacts. This search query is likely being used to identify any events that are associated with these specific hash values, which could potentially be used to detect malicious activity.",Always,24h,"index=* (0d4e850f6a4dfa6dc74f8770d6293c37a2a1df3bcf8bbac8ed5eebd7041cdf2e OR
          4496ce4c4eb7baa7ba7cac5a30d632db25143d89462ee4a885fbaf3752caec8d OR
          5983ce394d98d07d267d563496f4d444eaeb17e5fd9d2dd517b92145598d27ec OR
          5c2d0070ab7f93ddee20bbb6f38e60d994bcc3e256658c31a6ce8a033767a81e OR
          7d8dafc1e315b3adf788763ad0792e1c6e3cc0925f80b5bde41509858470b432 OR
          88f75d07e5f0b4f18651380e891d02b4980de66351c97a7bd766a9e6065452d8 OR
          93b1a9aa9be7e72eaed6ba8de581f9e73020fe70f021912e2e3ec956bd5171d9 OR
          94a3fbed738a7683435d72e0082c6c56a8472fb289ecda7e93055d69fb7f0117 OR
          dcab4d6f0691ce5b507470e879ffb9abfbe4039a52ebe0f4d5293e901c53e458 OR
          f264c1d4f641bb0063a6760ac36dcf6df08f01398bdf013e70ce14bfeea0322e)"
 Search for inbound traffic from malicious IPS,"This Splunk search query is used to retrieve network traffic data from the ""Network_Traffic"" datamodel. The query retrieves the values of the following fields from the data model: user, source IP address, source port, destination IP address, destination port, direction and action.

The search is filtered to only include traffic where the source IP address is any IP address and the destination IP address is one of the specific IP addresses listed in the WHERE clause. The destination port is not filtered and can be any port.

Finally, the search results are grouped by destination IP address and action and the specified fields (user, sourceIP, sourcePort, destinationIP, destinationPort, direction, and action) are displayed in the output.

Overall, this search query could be used to investigate network traffic patterns between the specified IP addresses and help to identify any potential security threats or anomalies.",Always,24h,"| tstats values(All_Traffic.user) AS user, values(All_Traffic.src_ip) AS sourceIP,
        values(All_Traffic.src_port) AS sourcePort, values(All_Traffic.dest_ip) AS destinationIP,
        values(All_Traffic.dest_port) AS destinationPort, values(All_Traffic.direction) AS direction,
        values(All_Traffic.action) AS action 
    FROM datamodel=Network_Traffic 
    WHERE All_Traffic.src_ip IN (*) 
        AND All_Traffic.dest_ip IN (51.89.125.18, 5.252.177.25, 5.252.177.21, 204.188.205.176, 139.99.115.204, 167.114.213.199, 13.59.205.66, 54.193.127.66, 54.215.192.52, 34.203.203.23, 139.99.115.204, 8.18.145.0, 196.203.11.89, 20.141.48.154, 51.89.125.18, 8.18.145.131, 8.18.145.21, 8.18.145.3, 8.18.145.33, 18.217.225.111, 184.72.145.34, 184.72.209.33, 184.72.21.54, 184.72.1.3, 184.72.101.22, 184.72.113.55, 184.72.212.52, 184.72.224.3, 184.72.240.3, 184.72.229.1, 184.72.245.1, 184.72.48.22, 3.16.81.254, 3.87.182.149, 34.219.234.134, 8.18.145.134, 8.18.144.9, 8.18.145.139, 8.18.145.150, 8.18.145.157, 8.18.145.36) 
        AND All_Traffic.dest_port IN (*)
    BY All_Traffic.dest_ip, All_Traffic.action
| fields user, sourceIP, sourcePort, destinationIP, destinationPort, direction, action"
 Search for IPS,"The Splunk search query you provided will search for events in the indexes ""prod_checkpoint,"" ""prod_cisco_asa,"" and ""prod_censornet"" that contain any of the IP addresses ""184.105.192.2,"" ""40.70.224.146,"" or ""204.79.197.200."" It will then create a table with the following fields for each matching event: category, sourcetype, index, url, user, cs_host, c_ip, time, date, action, dest, dvc, and site.

In other words, the query is looking for events that match a specific set of criteria and then displaying certain fields of information from those events in a table format. This type of query is commonly used in security analysis and troubleshooting to investigate specific events or patterns of activity within a system or network.",Always,24h,"index=prod_checkpoint OR index=prod_cisco_asa OR index=prod_censornet 
(""184.105.192.2"" OR ""40.70.224.146"" OR ""204.79.197.200"") 
| table category, sourcetype, index, url, user, cs_host, c_ip, time, date, action, dest, dvc, site"
 Search for known malicious service installation,"This Splunk search query searches three different indexes (""prod_windows"", ""prod_windows_ad"", and ""prod_aws"") for events with the EventCode value of 7045. It then uses the ""eventstats"" command to calculate a count of these events grouped by the ""Service_File_Name"" field.

Next, it filters the results to only include those where the count value is less than 5, using the ""search"" command. It then uses the ""convert"" command to convert the timestamp field (_time) to a human-readable format (day/month/year hour:minute:second).

Finally, the ""stats"" command aggregates the results by the ""ComputerName"" field and provides values for several fields including Time, EventCode, Sid, OpCode, Service_Name, Service_File_Name, Service_Start_Type, and Service_Type. The resulting output will show the values for these fields grouped by the ComputerName field.

Overall, this search query is designed to find events related to service control manager operations on Windows computers across multiple indexes and provide a summary of these events grouped by computer names.",Always,24h,"index=prod_windows OR index=prod_windows_ad OR index=prod_aws EventCode=7045 
| eventstats count as val by Service_File_Name 
| search val < 5 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S"" 
| stats values(Time) values(EventCode) values(Sid) values(OpCode) values(Service_Name) values(Service_File_Name) values(Service_Start_Type) values(Service_Type) by ComputerName"
 Search for Nishang PowerShell Framework (90d),"This Splunk search query searches for events in the Windows event logs in the prod_windows and prod_windows_ad indexes as well as the test_windows_iis index, where the sourcetype is set to WinEventLog and the EventCode is equal to 4104.

Furthermore, it narrows down the search results to those that contain the string Invoke-PowerShellTCP somewhere in the event message.

In summary, this query is searching for events in specific Windows event logs related to PowerShell TCP invocations.",Always,24h,"index=prod_windows OR index=prod_windows_ad OR index=test_windows_iis sourcetype=""WinEventLog"" EventCode=4104 ""*Invoke-PowerShellTCP*"""
 Search for outbound traffic to malicious IPS,"This is a Splunk search query that retrieves network traffic data from the Network_Traffic data model, and filters the results to show traffic where the source IP address is any address (*), and the destination IP address is one of a specified list of addresses.

The query retrieves the values of several fields for this traffic, including the user, source IP address, source port, destination IP address, destination port, direction, and action. It groups the results by destination IP address and action, and then displays the fields specified in the ""fields"" command at the end of the query.

Overall, the query is useful for investigating network traffic to a specific set of destination IP addresses and understanding the actions taken on that traffic.",Always,24h,"| tstats values(All_Traffic.user) AS user, 
         values(All_Traffic.src_ip) AS sourceIP, 
         values(All_Traffic.src_port) AS sourcePort, 
         values(All_Traffic.dest_ip) AS destinationIP, 
         values(All_Traffic.dest_port) AS destinationPort, 
         values(All_Traffic.direction) AS direction, 
         values(All_Traffic.action) AS action 
  FROM datamodel=Network_Traffic 
  WHERE All_Traffic.src_ip IN (*) 
    AND All_Traffic.dest_ip IN (51.89.125.18,
                                5.252.177.25,
                                5.252.177.21,
                                204.188.205.176,
                                139.99.115.204,
                                167.114.213.199,
                                13.59.205.66,
                                54.193.127.66,
                                54.215.192.52,
                                34.203.203.23,
                                8.18.145.0,
                                196.203.11.89,
                                20.141.48.154,
                                8.18.145.131,
                                8.18.145.21,
                                8.18.145.3,
                                8.18.145.33,
                                18.217.225.111,
                                184.72.145.34,
                                184.72.209.33,
                                184.72.21.54,
                                184.72.1.3,
                                184.72.101.22,
                                184.72.113.55,
                                184.72.212.52,
                                184.72.224.3,
                                184.72.240.3,
                                184.72.229.1,
                                184.72.245.1,
                                184.72.48.22,
                                3.16.81.254,
                                3.87.182.149,
                                34.219.234.134,
                                8.18.145.134,
                                8.18.144.9,
                                8.18.145.139,
                                8.18.145.150,
                                8.18.145.157,
                                8.18.145.36) 
    AND All_Traffic.dest_port IN (*)
  BY All_Traffic.dest_ip, All_Traffic.action
| fields user, sourceIP, sourcePort, destinationIP, destinationPort, direction, action"
 Search for password related subject,"The Splunk search query searches for events in the ""prod_mimecast"" index that contain the specific values in the fields ""subject"", ""Sender"", and ""Rcpt"". It then groups the results by the ""subject"" and ""Delivered"" fields and calculates the count of events, as well as the distinct values of ""Sender"" and ""Rcpt"" fields for each group.

In other words, the query is searching for email messages with the subject ""Your message couldn't be delivered"" sent from ""test.test@testa.co.uk"" to ""test.test@testb.co.uk"". It then provides a summary of how many of these messages were delivered or not, and which email addresses were involved in these messages.",Always,24h,"index=prod_mimecast subject=""Your message couldn't be delivered"" Sender=""test.test@testa.co.uk"" Rcpt=""test.test@testb.co.uk"" 
| stats count values(Sender) values(Rcpt) by subject Delivered"
