Title,Description,Alert Type,Alert Expires,Search 
Checkpoint Address Spoofing,,Always,24h,"index=prod_checkpoint action=Detect 
| stats count by origin, src_ip, message_info, dest_ip , dest_port 
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| sort -count 
| search count > 500
| table origin, src_ip, src_location, message_info, dest_ip, dest_port, dest_location, count"
Checkpoint Firewall Blocks,,Always,24h,"index=prod_checkpoint action=Drop dest_ip!=""Whatever the external IP address is""
| stats count by index, origin, src_ip, dest_ip, dest_port, action, rule_name
| sort -count
| head 20
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| lookup WellKnownPorts port as dest_port OUTPUT description as Port
| rename origin as ""Firewall""
| table count, Firewall, src_ip, src_location, dest_ip, dest_port,Port,  dest_location, rule_name"
Checkpoint Not Accepts,,Always,24h,"index=prod_checkpoint action!=Accept
|  stats count by origin, src_ip, action, dest_ip , dest_port
| lookup MySubnets subnet as src_ip OUTPUT location as src_location
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| sort -count
| table origin, src_ip, src_location, action, dest_ip, dest_port , dest_location , count"
Checkpoint Scanner Blocks,,Always,24h,"index=prod_checkpoint action=Drop src_ip IN (
``` Rapid 7 Scan Engines ```
""10.70.90.20"",
""10.70.90.21"",
""10.70.90.22"",
""10.80.90.20"",
""10.80.90.21"",
""10.80.90.22"",
``` Servers for Service Now ```
""10.70.181.10"",
""10.70.181.11"",
""10.70.181.12"",
""10.80.181.10"",
""10.80.181.11"",
""10.80.181.12""
)
| stats count by index, origin, src_ip, dest_ip, dest_port, action, rule_name
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename origin as ""Firewall""
| table count, firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_name"
Checkpoint Top Talkers V3,,Always,24h,"| tstats summariesonly=t sum(All_Traffic.bytes) AS Bytes sum(All_Traffic.bytes_in) as Bytes_In sum(All_Traffic.bytes_out) as Bytes_Out FROM datamodel=Network_Traffic WHERE sourcetype=""cp_Firewall"" All_traffic.dest_ip=""Whatever the external IP address is"" NOT All_Traffic.action IN (""Drop"") BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip
| rename All_Traffic.* AS * 
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location 
| rename src_ip AS ""Source IP""
| eval GBytes = round(Bytes / 1024 /1024 /1024, 2) 
| eval GBytes_Out = round(Bytes_Out / 1024 /1024 /1024, 2) 
| eval GBytes_In = round(Bytes_In / 1024 /1024 /1024, 2) 
| sort - Bytes
| head 20
| fields ""Source IP"", src_location, action, GBytes, GBytes_In, GBytes_Out , dest_ip, dest_location"
Cisco Scanner Blocks,,Always,24h,"index=prod_cisco_asa Cisco_ASA_action=den* src_ip IN (
    ""10.70.90.20"",
    ""10.70.90.21"",
    ""10.70.90.22"",
    ""10.80.90.20"",
    ""10.80.90.21"",
    ""10.80.90.22"",
    ""10.70.181.10"",
    ""10.70.181.11"",
    ""10.70.181.12"",
    ""10.80.181.10"",
    ""10.80.181.11"",
    ""10.80.181.12""
)
| stats count by index, host, src_ip, dest_ip, dest_port, Cisco_ASA_action, rule_id
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename host as ""Firewall""
| table count, Firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_id"
DNS Analysis,Analysis of DNS Traffic,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic WHERE sourcetype=""cp_Firewall"" All_Traffic.dest_port=""53"" All_Traffic.src_ip=* All_Traffic.dest_ip=""*"" BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip, All_Traffic.dest_port
| rename All_Traffic.* AS *
| lookup MySubnets subnet AS src_ip OUTPUT location AS ""Source Location""
| lookup MySubnets subnet AS dest_ip OUTPUT location AS ""Destination Location""
| rename src_ip AS ""Source IP"", dest_ip AS ""Destination IP"", dest_port AS ""Destination Port""
| fields ""Source Location"", ""Source IP"", ""Destination Location"", ""Destination IP"", ""Destination Port"", action, count
| sort -count"
DNS Analysis,Analysis of DNS Traffic,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic 
WHERE sourcetype=""cp_Firewall"" 
AND All_Traffic.dest_port=""53"" 
AND NOT All_Traffic.dest_ip IN (""0.0.0.0"", ""10.10.150.2"", ""10.60.1.10"", ""10.60.8.10"", 
""10.60.8.11"", ""10.60.80.10"", ""10.70.20.10"", ""10.70.20.11"", ""10.80.20.10"", 
""10.80.20.11"", ""10.80.40.101"", ""10.10.150.1"", ""10.200.44.5"", ""172.18.128.99"", 
""255.255.255.255"") 
AND NOT All_Traffic.src_ip IN (""0.0.0.0"", ""10.10.150.2"", ""10.60.1.10"", ""10.60.8.10"", 
""10.60.8.11"", ""10.60.80.10"", ""10.70.55.10"", ""10.70.20.10"", ""10.70.20.11"", 
""10.80.20.10"", ""10.80.20.11"", ""10.80.20.83"", ""10.80.40.101"", ""10.200.44.5"", 
""172.18.128.98"", ""172.18.128.99"", ""10.70.20.83"", ""255.255.255.255"") 
AND NOT All_Traffic.dvc IN (""10.60.10.252"", ""10.60.10.253"", ""10.60.73.252"", ""10.60.73.253"", 
""172.18.248.123"", ""172.18.248.125"") 
AND NOT All_Traffic.action IN (""Detect"", ""Prevent"", ""Drop"") 
BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip 
| rename All_Traffic.* AS * 
| sort - count 
| lookup MySubnets subnet AS src_ip OUTPUT location AS src_location 
| lookup MySubnets subnet AS dest_ip OUTPUT location AS dest_location 
| rename src_ip AS ""Source IP"" 
| fields ""Source IP"", src_location, action, count, dest_ip, dest_location"
Dynatrace Blocks,,Always,24h,"index=prod_checkpoint action=Drop dest_ip IN (""52.211.92.185"", ""63.33.149.166"", ""63.34.224.115"", ""34.246.164.174"", ""108.128.127.88"", ""54.73.50.132"", ""54.194.226.107"", ""34.249.56.77"", ""54.73.199.74"", ""34.249.78.239"", ""34.241.194.10"", ""54.220.249.199"", ""54.76.0.28"", ""54.247.149.59"", ""63.34.231.89"", ""54.72.59.249"", ""10.70.10.77"", ""10.60.1.77"", ""10.70.20.207"", ""10.70.20.208"")
| stats count by index, origin, src_ip, dest_ip, dest_port, action, rule_name
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename origin as ""Firewall""
| table count, Firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_name"
Dynatrace Cisco Blocks,,Always,24h,"index=prod_cisco_asa Cisco_ASA_action=den* dest_ip IN (""52.211.92.185"",""63.33.149.166"",""63.34.224.115"",""34.246.164.174"",""108.128.127.88"",""54.73.50.132"",""54.194.226.107"",""34.249.56.77"",""54.73.199.74"",""34.249.78.239"",""34.241.194.10"",""54.220.249.199"",""54.76.0.28"",""54.247.149.59"",""63.34.231.89"",""54.72.59.249"",""10.70.10.77"",""10.60.1.77"",""10.70.20.207"",""10.70.20.208"")
| stats count by index, host, src_ip, dest_ip, dest_port, Cisco_ASA_action, rule_id
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename host as ""Firewall""
| table count, Firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_id"
